R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout,R_rating,B_rating
Niko Price,George Sullivan,-365,305,27.39726027,305,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,42.2,0.488,0.6,1,0.328,2,2,12,0,0,0,2,1,0,0,3,Orthodox,182.88,185.42,170,1,0,0,16,0.3325,0.5,0.25,0.0625,1,2,6,0,0,0,0,1,1,0,2,Orthodox,182.88,193.04,170,28,36,0,0,1,1,0,6,0,0,-1,0,-7.62,-8,26.2,0.1,0.75,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,4:21,561,0,0,24,21,47,61,0.51,0.34,35,42,67,88,2,1,5,6,0.4,0.16,3,0,3,0,1,0,1268.266122235893,1193.338223644153
Austin Arnett,Cory Sandhagen,170,-200,170,50,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,177.8,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,26,25,0,0,0,0,0,0,0,0,0,-2.54,-5.08,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:48,528,0,1,32,80,90,147,0.35,0.54,35,108,95,179,1,1,1,1,1,1,0,0,1,1,0,1,1168.0,1232.0
Stipe Miocic,Francis Ngannou,150,-170,150,58.82352941,1/20/2018,"Boston, Massachusetts, USA", USA,Red,TRUE,Heavyweight,MALE,5,0,6,0,14,0.566666667,0.166666667,0,0,6,0,8,0,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,5,0,48.15384615,0.523076923,0,1.307692308,0.370769231,5,2,29,3,0,0,3,8,0,0,11,Orthodox,193.04,203.2,240,35,31,0,1,1,-5,2,-21,-3,-3,1,0,7.62,4,-34.15384615,0.166666667,-1.307692308,0,1,1,0,,,,,0,,,,,,,,7,,,,,1,,,,,,,,,Red,U-DEC,,5,5:00,1500,0,0,70,21,95,113,0.73,0.18,200,33,244,126,6,0,14,1,0.42,0,0,1,4,0,0,0,1504.5738481732988,1361.2698927838298
Daniel Cormier,Volkan Oezdemir,-345,285,28.98550725,285,1/20/2018,"Boston, Massachusetts, USA", USA,Red,TRUE,Light Heavyweight,MALE,5,0,3,0,33,0.596666667,0,0,0,3,0,5,0,0,1,0,2,0,0,3,Orthodox,187.96,190.5,205,1,0,0,54.9,0.54,0.6,1.5,0.379,4,2,31,5,0,1,3,1,3,0,8,Orthodox,180.34,182.88,235,38,28,1,3,-1,-5,2,-26,-5,1,-3,7.62,7.62,10,-21.9,-0.6,-1.5,0,1,2,0,,,,,,0,,,,,,,5,,,,,,2,,,,,,,,Red,KO/TKO,Punches,2,2:00,420,0,0,32,38,61,82,0.52,0.46,84,42,113,86,2,0,3,0,0.66,0,1,0,3,0,0,0,1494.5317597307621,1307.4334809845514
Calvin Kattar,Shane Burgos,190,-230,190,43.47826087,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,0,3,0,84,0.45,0,0.666666667,0.666666667,3,0,9,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,145,0,1,0,75,0.46,0,2,0.66,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,145,29,26,0,2,2,2,0,6,0,1,0,0,7.62,3,9,0,-1.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,0:32,632,1,0,85,89,194,186,0.43,0.47,86,91,195,188,0,0,1,0,0,0,0,0,0,0,0,0,1276.4617962636355,1255.9434351779444
Gian Villante,Francimar Barroso,-155,135,64.51612903,135,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,30.5,0.4475,0,2.125,0.23375,2,4,21,0,0,0,4,0,0,0,4,Orthodox,185.42,190.5,205,2,0,0,47.90909091,0.457272727,0,0.454545455,0.204545455,2,6,28,0,0,1,0,4,0,0,5,Orthodox,190.5,193.04,205,32,37,1,0,0,-1,2,-7,0,-4,0,-5.08,-2.54,-5,-17.40909091,0,1.670454545,0,1,,15,,,,,,15,,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,0,0,74,74,209,128,0.35,0.57,74,74,209,128,0,0,0,0,0,0,0,0,0,0,0,0,1223.8533359880867,1178.9186500273388
Thomas Almeida,Rob Font,-145,125,68.96551724,125,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Bantamweight,MALE,3,1,0,0,38.33333333,0.506666667,0.666666667,0.666666667,0.283333333,2,2,10,0,0,0,0,3,1,0,4,Orthodox,172.72,180.34,135,1,0,0,46,0.458571429,0,0,0,4,2,13,0,0,0,1,4,0,0,5,Southpaw,170.18,177.8,135,26,30,0,0,-2,-1,0,-3,0,-1,1,2.54,2.54,-4,-7.66666667,0.666666667,0.666666667,0,1,14,10,,,,,,,,,,,10,,,,,,,,,,,,,14,,,Red,KO/TKO,Kick,2,2:24,444,0,2,24,41,90,132,0.26,0.31,24,48,92,139,0,1,0,3,0,0.33,0,0,0,0,0,0,1235.5254441305856,1292.6345578388557
Kyle Bochniak,Brandon Davis,120,-140,120,71.42857143,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,1,0,0,38.66666667,0.37,0,0.666666667,0.176666667,1,2,9,0,0,1,0,0,0,0,1,Orthodox,170.18,177.8,145,30,27,1,0,-1,-1,2,-9,0,0,0,7.62,5.08,3,-38.66666667,0,-0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,33,38,132,112,0.25,0.33,35,59,134,133,3,1,15,1,0.2,1,0,0,0,0,0,0,1214.6510077165149,1165.57649740835
Sabah Homasi,Abdul Razak Alhassan,168,-195,168,51.28205128,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,27.33333333,0.47,0,0.333333333,0.11,1,1,5,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,2,0,0,36,0.53,0,1,0.5,0,2,3,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,29,32,2,1,1,2,1,2,0,2,0,-5.08,2.54,-3,-8.66666667,0,-0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:47,227,0,1,8,13,25,33,0.32,0.39,9,20,26,42,1,0,2,0,0.5,0,0,0,0,0,0,0,1126.704690917305,1251.5982343906994
Dustin Ortiz,Alexandre Pantoja,-135,115,74.07407407,115,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Flyweight,MALE,3,0,2,0,78,0.445,1.5,1,0.665,2,0,6,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,0,1,0,38.18181818,0.470909091,0.090909091,2.272727273,0.279090909,2,5,30,0,0,3,0,3,0,0,6,Orthodox,165.1,165.1,125,29,27,0,1,0,-4,5,-24,0,-3,1,0,5.08,2,39.81818182,1.409090909,-1.272727273,0,1,11,10,,,,,,,,,,,,10,,,,,,,,,,,,,11,,Red,U-DEC,,3,5:00,900,0,0,36,19,80,49,0.45,0.38,92,49,147,79,7,1,12,1,0.58,1,0,2,1,4,2,2,1277.85597840786,1227.4401030793588
Dan Ige,Julio Arce,120,-140,120,71.42857143,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,26,28,0,0,0,0,0,0,0,0,0,0,-2.54,-2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,35,72,113,201,0.3,0.35,36,87,116,216,1,0,13,0,0.7,0,0,0,0,0,0,0,1168.0,1232.0
Matt Bessette,Enrique Barzola,245,-290,245,34.48275862,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,52.75,0.4325,0.25,5.5,0.46,2,1,12,1,0,0,3,0,0,0,3,Switch,170.18,177.8,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,33,28,0,2,2,3,-1,12,1,0,0,-7.62,0,5,52.75,0.25,5.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,43,55,146,122,0.29,0.45,55,73,158,143,0,5,0,10,0,0.5,0,0,0,0,0,0,1174.7711167000582,1281.2119679083817
Islam Makhachev,Gleison Tibau,-290,245,34.48275862,245,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Lightweight,MALE,3,2,0,0,21.96153846,0.355769231,0.653846154,3.230769231,0.515769231,3,10,63,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,2,0,22.75,0.5675,0.75,3,0.65,2,1,9,0,0,0,2,0,1,0,3,Orthodox,177.8,177.8,155,26,34,-2,-2,1,13,-9,54,0,1,3,0,2.54,-8,-0.78846154,-0.096153846,0.230769231,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:57,57,1,0,3,2,6,4,0.5,0.5,3,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1319.9403875928365,1253.0285044955938
Jeremy Stephens,Dooho Choi,145,-165,145,60.60606061,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,5,1,0,0,27.25,0.6,0,0.25,0.05,3,1,6,0,0,0,0,3,0,0,3,Orthodox,177.8,177.8,145,0,1,0,38.19230769,0.445384615,0.384615385,1.038461538,0.271923077,3,13,71,0,0,1,6,5,0,1,13,Orthodox,172.72,180.34,145,31,26,-1,-1,0,-10,12,-65,0,-3,0,5.08,-2.54,5,-10.94230769,-0.384615385,-0.788461538,0,1,13,9,,,,,,,,,,9,,,,,,,,,,,,,13,,,,Red,KO/TKO,Punch,2,2:36,456,1,0,49,44,133,79,0.36,0.55,49,45,133,80,0,0,0,0,0,0,0,0,0,0,0,0,1308.5881858125522,1242.9419459290882
Paige VanZant,Jessica-Rose Clark,-120,100,83.33333333,100,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,101,0.58,1,2,0.66,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,40.16666667,0.473333333,0.666666667,1.333333333,0.22,3,2,17,0,0,0,1,2,1,0,4,Orthodox,162.56,165.1,115,23,30,1,1,-2,-3,2,-14,0,-2,-1,2.54,-2.54,-7,60.83333333,0.333333333,0.666666667,0,1,10,,,,11,,,,,,,,,,,10,,,,,,,,,,,,,Blue,U-DEC,,3,5:00,900,0,0,54,55,118,98,0.45,0.56,96,78,162,122,0,2,2,3,0,0.66,0,1,0,4,1,1,1205.465751546874,1262.2097359331246
Kamaru Usman,Emil Meek,-750,525,13.33333333,525,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Welterweight,MALE,3,0,1,0,50,0.37,1,1,0.5,1,0,3,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,6,0,46.83333333,0.516666667,0.333333333,3.333333333,0.418333333,6,0,15,1,0,0,4,1,1,0,6,Switch,182.88,193.04,170,30,29,0,-5,-5,-5,0,-12,-1,-1,-1,-2.54,-5.08,1,3.16666667,0.666666667,-2.333333333,0,1,,10,,,,,,,,10,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,50,30,66,67,0.75,0.44,112,86,132,131,8,0,19,0,0.42,0,0,2,7,0,0,0,1402.092608868744,1223.823759741003
Darren Elkins,Michael Johnson,175,-210,175,47.61904762,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,3,2,0,0,45.52941176,0.345882353,0.058823529,0.470588235,0.328235294,4,8,42,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,0,5,0,37,0.331176471,1.176470588,2.176470588,0.349411765,5,4,43,0,0,2,8,3,0,0,13,Orthodox,177.8,180.34,145,33,31,-2,-5,-1,-4,-4,-1,1,1,0,0,5.08,2,8.52941176,-1.117647059,-1.705882353,0,1,,10,,,,,,,,,,10,,,,,,,,,,,,10,,,,,Red,SUB,Rear Naked Choke,2,2:22,442,0,0,18,45,64,98,0.28,0.45,54,46,108,99,1,0,4,0,0.25,0,1,0,2,0,0,0,1416.666128795632,1249.4642848409956
James Krause,Alex White,-180,158,55.55555556,158,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,44.33333333,0.428333333,0.166666667,0.666666667,0.125,1,3,15,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,0,3,0,56,0.46625,0.5,0.5,0.205,3,3,18,0,0,0,2,1,2,0,5,Orthodox,187.96,185.42,170,31,29,0,-2,-2,-2,0,-3,0,1,-2,-5.08,-5.08,2,-11.66666667,-0.333333333,0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,35,56,67,127,0.52,0.44,56,97,93,175,3,1,11,1,0.27,1,2,0,4,0,1,0,1296.1772822648043,1171.0621454058385
Matt Frevola,Polo Reyes,-200,185,50,185,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,52.75,0.3625,0,0,0,3,1,8,0,0,1,0,2,0,0,3,Orthodox,180.34,180.34,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,27,33,-1,0,3,3,-1,8,0,2,0,5.08,0,-6,52.75,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.4937411397302,1279.1292664072503
Talita Bernardo,Irene Aldana,115,-135,115,74.07407407,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,96,0.395,0,0.5,0.5,0,2,6,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,1,0,0,22,0.25,1,3,0.42,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,30,29,-1,0,0,0,-1,3,0,0,0,12.7,0,1,74,-1,-2.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,46,70,87,171,0.52,0.4,74,148,119,258,1,1,11,2,0.9,0.5,0,0,1,6,1,3,1134.6968001150503,1171.6509760303613
Kyung Ho Kang,Guido Cannetti,-290,245,34.48275862,245,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,33.5,0.545,0,2.5,0.535,1,1,5,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,135,0,2,0,30,0.405,1.5,2.5,0.6375,2,2,12,0,0,1,0,0,1,0,2,Orthodox,175.26,185.42,135,30,38,0,-1,-1,-1,1,-7,0,0,-1,-7.62,-12.7,-8,3.5,-1.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Choke,1,4:53,293,0,0,3,19,11,39,0.27,0.48,28,22,36,42,1,1,2,2,0.5,0.5,1,0,1,0,0,0,1267.8827872617076,1178.3042076843196
Kalindra Faria,Jessica Eye,115,-135,115,74.07407407,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,4,0,0,48.57142857,0.395714286,0.142857143,0.142857143,0.142857143,1,6,20,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,170.18,157,125,31,31,-3,0,1,1,-5,19,0,1,0,-2.54,10.64,0,48.57142857,0.142857143,0.142857143,0,1,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,0,0,38,25,70,49,0.54,0.51,52,53,91,86,1,3,2,4,0.5,0.75,1,6,1,3,0,0,1128.9554571849912,1148.72609941462
Danielle Taylor,JJ Aldrich,110,-130,110,76.92307692,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,1,0,64.5,0.39,0,0,0,1,1,6,0,0,0,1,0,0,0,1,Southpaw,165.1,170.18,125,0,2,0,44.66666667,0.276666667,0,0.333333333,0.333333333,2,1,9,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,28,25,0,-1,-1,-1,0,-3,0,0,0,12.7,17.78,3,19.83333333,0,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,38,54,136,150,0.27,0.36,64,67,163,164,0,1,1,5,0,0.2,0,0,0,1,0,0,1197.1373079646844,1239.386325888844
Mads Burnell,Mike Santiago,165,-190,165,52.63157895,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,3,1,0,0,24,0.35,0,2,0.28,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,145,1,0,0,10,0.33,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,23,28,0,0,0,0,0,-1,0,0,0,5.08,0,-5,14,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,20,51,34,79,0.58,0.64,110,95,169,127,3,3,7,3,0.42,1,1,2,11,3,1,1,1211.5892573999668,1137.6208759862295
Cris Cyborg,Holly Holm,-325,265,30.76923077,265,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Featherweight,FEMALE,5,0,1,0,51.71428571,0.402857143,0,0.285714286,0.285714286,3,3,26,3,0,1,1,2,0,0,4,Southpaw,172.72,175.26,145,0,3,0,61.33333333,0.606666667,0,0.666666667,0.333333333,3,0,6,1,0,0,0,3,0,0,3,Orthodox,172.72,172.72,145,32,36,0,-2,0,1,-3,20,2,-1,0,0,2.54,-4,-9.61904762,0,-0.380952381,0,1,,0,,0,,,,,,,,,,,10,,,,2,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.8414868265118,1216.8027374504954
Khabib Nurmagomedov,Edson Barboza,-410,330,24.3902439,330,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,41.58823529,0.448235294,0.058823529,0.411764706,0.215294118,4,4,40,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,0,8,0,45.5,0.51375,0.5,4.875,0.38,8,0,21,0,0,0,4,2,2,0,8,Orthodox,177.8,177.8,155,29,31,0,-5,-4,5,-4,19,0,4,-2,2.54,12.7,-2,-3.91176471,-0.441176471,-4.463235294,0,1,4,2,,,,,,,,,2,,,,,,,,,,,,,4,,,,,Red,U-DEC,,3,5:00,900,0,0,89,25,177,76,0.5,0.32,154,25,246,77,4,0,13,0,0.3,0,0,0,4,0,0,0,1452.015900266975,1378.7145850177164
Dan Hooker,Marc Diakiese,165,-190,165,52.63157895,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,21,0.506666667,0,2.333333333,0.486666667,3,0,6,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,0,1,0,38.85714286,0.45,0.142857143,0.142857143,0.047142857,1,3,15,0,0,0,0,3,1,0,4,Switch,182.88,190.5,155,27,24,0,2,2,-1,3,-9,0,-1,-1,-5.08,-5.08,3,-17.85714286,-0.142857143,2.19047619,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,3,0:42,642,0,0,17,24,40,69,0.42,0.34,24,41,48,87,2,0,3,5,0.66,0,1,0,1,0,0,1,1262.6164559375086,1241.6047787469242
Cynthia Calvillo,Carla Esparza,-220,180,45.45454545,180,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,26.5,0.385,0.5,3.75,0.4675,1,2,11,2,0,0,1,0,1,0,2,Orthodox,154.94,160.02,115,0,3,0,39,0.423333333,2.666666667,1.333333333,0.8,3,0,7,0,0,0,1,0,2,0,3,Orthodox,162.56,162.56,115,30,30,-1,-3,-2,-1,-2,4,2,0,-1,-7.62,-2.54,0,-12.5,-2.166666667,2.416666667,0,1,9,6,,,6,,,,,,,,,,,,,9,,,,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,38,48,112,138,0.33,0.34,57,62,131,153,1,2,3,9,0.33,0.22,0,1,2,0,0,1,1245.9520596901032,1241.9851863726221
Carlos Condit,Neil Magny,-130,110,76.92307692,110,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,46.17647059,0.432941176,0.294117647,2.058823529,0.45,7,5,44,0,0,1,6,4,1,0,12,Orthodox,190.5,203.2,170,2,0,0,58.61538462,0.361538462,0.692307692,0.461538462,0.146923077,5,6,38,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,33,30,1,0,2,5,1,6,-3,-1,1,2.54,12.7,3,-12.43891403,-0.398190045,1.597285067,0,1,12,8,,,,,,,,8,,,,,,,,,,,,,12,,,,,,Red,U-DEC,,3,5:00,900,0,0,37,32,112,114,0.33,0.28,64,64,140,150,0,6,0,9,0,0.66,0,0,0,1,0,0,1288.1338077812986,1389.9193092400276
Myles Jury,Rick Glenn,-175,155,57.14285714,155,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,3,0,2,0,84,0.47,0.333333333,1.333333333,0.19,2,1,9,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,0,1,0,23,0.365555556,0.222222222,1.555555556,0.477777778,6,2,18,0,0,1,2,3,1,0,7,Orthodox,177.8,185.42,145,29,28,0,1,-4,-5,1,-9,0,-3,-1,5.08,-7.62,1,61,0.111111111,-0.222222223,0,1,,15,,,,,,,,,,15,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,41,14,83,83,0.49,0.16,56,29,100,102,2,0,3,4,0.66,0,0,0,2,0,1,0,1350.7263245124582,1220.0999592077005
Louis Smolka,Matheus Nicolau,170,-200,170,50,12/30/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE,3,0,2,0,43.5,0.535,1.5,1.5,0.375,2,0,6,0,0,1,0,0,1,0,2,Orthodox,167.64,167.64,125,3,0,0,47,0.481111111,2,1.444444444,0.327777778,4,4,23,0,0,0,2,2,1,0,5,Orthodox,175.26,172.72,135,26,24,3,2,-2,-3,4,-17,0,-2,0,-7.62,-5.08,2,-3.5,-0.5,0.055555556,0,1,,13,,,,,,,,,,,,13,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.607435922459,1292.176419896448
Tim Elliott,Mark De La Rosa,-190,165,52.63157895,165,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,1,0,0,46.66666667,0.472222222,1.111111111,3.888888889,0.594444444,2,6,25,1,0,0,3,0,0,0,3,Southpaw,170.18,167.64,135,31,23,1,0,-2,-3,6,-25,-1,0,0,-2.54,-2.54,8,-46.66666667,-1.111111111,-3.888888889,0,1,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,2,1:41,401,0,0,12,2,24,4,0.5,0.5,54,4,75,6,1,0,1,0,1,0,2,0,6,0,2,0,1203.1156852825613,1163.9806165857492
Robbie Lawler,Rafael Dos Anjos,105,-125,105,80,12/16/2017,"Winnipeg, Manitoba, Canada", Canada,Blue,FALSE,Welterweight,MALE,5,0,2,0,39.43478261,0.439565217,0.608695652,1.739130435,0.301304348,5,7,59,3,0,0,9,4,3,0,16,Southpaw,172.72,177.8,170,0,1,0,49.88888889,0.460555556,0,0.888888889,0.361111111,5,5,52,5,0,3,4,6,0,0,13,Southpaw,180.34,187.96,170,35,33,0,1,0,3,-2,7,-2,-2,3,-7.62,-10.16,2,-10.45410628,0.608695652,0.850241546,0,1,4,2,,,,,,,,2,,,,,,,,,,,,,4,,,,,,Red,U-DEC,,5,5:00,1500,0,0,86,172,212,291,0.4,0.59,137,219,267,343,0,2,0,7,0,0.28,0,0,0,1,0,0,1426.9510328785782,1481.4791733608602
