R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Michael Chiesa,Neil Magny,120,-148,120,67.56756757,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,5,0,3,0,3.96,0.48,0.3,2.63,0.45,7,6,61,0,0,1,10,5,1,0,17,Orthodox,190.5,203.2,170,0,3,0,2.07,0.39,1.1,3.84,0.51,3,4,30,0,0,0,4,0,6,0,10,Southpaw,185.42,190.5,170,33,33,0,0,4,7,2,31,0,5,-5,5.08,12.7,0,1.89,-0.8,-1.21,1,1,9,8,,,,,,,,8,,,,,,,,,,,,,9,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlley Alves,Mounir Lazzez,185,-230,185,43.47826087,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,3,0,1,0,6.53,0.55,0,4,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,185.42,193.04,170,1,0,0,3.01,0.46,1,1.39,0.52,4,4,27,0,0,0,2,2,3,0,7,Orthodox,180.34,182.88,170,30,33,-1,1,-3,-6,-4,-24,0,-2,-3,5.08,10.16,3,3.52,-1,2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ike Villanueva,Vinicius Moreira,-134,110,74.62686567,110,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,3,0,0,2.79,0.6,1.7,2.61,0.18,1,3,5,0,0,0,0,0,1,0,1,Orthodox,193.04,193.04,205,2,0,0,3.14,0.37,0,0,0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,225,36,31,1,0,1,1,1,2,0,0,1,7.62,7.62,-5,-0.35,1.7,2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxanne Modafferi,Viviane Araujo,260,-335,260,29.85074627,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,4.77,0.5,0,1.88,0.53,2,1,12,0,0,0,2,1,0,0,3,Orthodox,162.56,172.72,125,0,1,0,3.14,0.31,0.1,1.55,0.25,1,7,32,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,38,34,0,0,1,-1,-6,-20,-1,0,0,-7.62,-2.54,-4,1.63,-0.1,0.33,1,1,9,8,8,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Schnell,Tyson Nam,105,-130,105,76.92307692,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,0,2,0,3.55,0.32,0,0,0,2,2,9,0,0,0,0,2,0,0,2,Orthodox,170.18,172.72,125,1,0,0,3.73,0.35,1.6,0.64,0.33,4,3,11,0,0,1,1,0,2,0,4,Orthodox,172.72,177.8,125,31,37,-1,2,-2,-2,-1,-2,0,2,-2,-2.54,-5.08,6,-0.18,-1.6,-0.64,1,1,13,9,,,,,,,,,,,,9,,,,,,,,,,,,,13,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Douglas Silva de Andrade,-305,240,32.78688525,240,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,3,0,1,0,3.96,0.38,0,0.65,0.5,2,3,19,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,145,0,1,1,2.59,0.42,1.6,0.78,0.5,1,0,4,0,0,0,0,1,0,0,1,Orthodox,175.26,185.42,145,29,35,0,0,1,3,3,15,0,0,0,-5.08,-12.7,6,1.37,-1.6,-0.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Akhmedov,Tom Breese,128,-159,128,62.89308176,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,3,0,1,0,3.77,0.51,0.3,0,0,3,2,11,0,0,0,1,4,0,0,5,Southpaw,190.5,185.42,185,1,0,1,2.92,0.34,0.2,2.56,0.5,3,4,33,0,0,1,5,2,0,0,8,Orthodox,182.88,185.42,185,33,29,-1,1,0,-3,-2,-22,0,2,0,7.62,0,-4,0.85,0.1,-2.56,1,1,,13,,,,,,,13,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Simon,Gaetano Pirrello,-400,300,25,300,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,1,0,3.21,0.41,0.2,6.61,0.51,4,2,19,0,0,2,2,1,0,0,5,Orthodox,167.64,175.26,135,28,28,0,-1,-4,-5,-2,-19,0,-1,0,2.54,-5.08,0,-3.21,-0.2,-6.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su Mudaerji,Zarrukh Adashev,-400,300,25,300,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,1,0,0,3.75,0.33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,125,0,2,0,5.25,0.58,1.3,0.66,1,2,1,6,0,0,0,1,1,0,0,2,Southpaw,172.72,182.88,125,25,28,1,-2,-2,-2,0,-5,0,-1,0,-7.62,-17.78,3,-1.5,-1.3,-0.66,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalcha Lungiambula,Markus Perez,-143,115,69.93006993,115,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,3,2,0,0,2.83,0.46,1,1.02,0.26,1,4,13,0,0,0,0,0,2,0,2,Orthodox,185.42,185.42,185,1,0,0,1.79,0.55,0,2.83,0.5,1,1,6,0,0,0,0,1,0,0,1,Orthodox,172.72,193.04,185,33,32,1,0,0,1,3,7,0,-1,2,12.7,-7.62,-1,1.04,1,-1.81,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Figueiredo,Jerome Rivera,-155,125,64.51612903,125,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,1,0,0,3.79,0.42,0,0,0,1,1,5,0,0,0,1,0,0,0,1,Southpaw,177.8,182.88,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,175.26,135,31,25,1,0,1,1,1,5,0,0,0,10.16,7.62,-6,3.79,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,Mason Jones,-175,135,57.14285714,135,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,0,1,0,5.87,0.54,0,0.77,0.33,1,2,8,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,145,28,25,0,-1,-1,-1,-2,-8,0,-1,0,-5.08,-5.08,-3,-5.87,0,-0.77,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Nurmagomedov,Sergey Morozov,-530,375,18.86792453,375,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,24,31,0,0,0,0,0,0,0,0,0,-5.08,-5.08,7,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Leonardo,Manon Fiorot,170,-215,170,46.51162791,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,0,1,0,4.85,0.53,0,4.65,0.42,1,0,2,0,0,0,0,1,0,0,1,Orthodox,165.1,162.56,125,30,30,0,-1,-1,-1,0,-2,0,-1,0,5.08,7.62,0,-4.85,0,-4.65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Holloway,Calvin Kattar,-162,138,61.72839506,138,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,5,0,2,0,5.01,0.41,0,0.47,0.37,2,2,21,0,0,0,2,4,0,0,6,Orthodox,180.34,182.88,145,2,0,0,6.47,0.44,0.4,0.22,0.83,13,6,70,8,0,1,5,9,2,0,17,Orthodox,180.34,175.26,145,29,32,-2,2,-11,-11,-4,-49,-8,-5,-2,0,7.62,3,-1.46,-0.4,0.25,1,1,6,1,,,,,,,,,,1,,,,,,,,,,,,,6,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Condit,Matt Brown,-177,145,56.49717514,145,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,3,1,0,0,3.81,0.54,1.5,1.6,0.47,7,11,58,0,0,0,2,11,2,0,15,Orthodox,182.88,190.5,170,0,1,0,3.69,0.39,1.1,0.55,0.55,5,10,60,3,0,1,2,6,4,0,13,Orthodox,187.96,190.5,170,36,40,1,-1,2,2,1,-2,-3,5,-2,-5.08,0,4,0.12,0.4,1.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Ponzinibbio,Li Jingliang,-305,240,32.78688525,240,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,1,0,0,4.51,0.42,0,1.32,0.39,4,4,32,0,0,1,2,6,0,0,9,Orthodox,182.88,180.34,170,0,7,0,4.27,0.39,0,0.54,0.44,7,2,25,0,0,0,4,5,0,0,9,Orthodox,182.88,185.42,170,34,32,1,-7,-3,0,2,7,0,1,0,0,-5.08,-2,0.24,0,0.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Buckley,Alessio Di Chirico,-278,215,35.97122302,215,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,3,0,0,3.25,0.4,0,1.66,0.45,2,5,21,0,0,2,0,1,0,0,3,Orthodox,182.88,187.96,185,0,2,0,4.89,0.38,0,0.66,0.16,2,1,7,0,0,0,0,2,0,0,2,Southpaw,177.8,193.04,185,26,31,3,-2,0,1,4,14,0,-1,0,5.08,-5.08,5,-1.64,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punahele Soriano,Dusko Todorovic,130,-159,130,62.89308176,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,3,0,2,0,8.04,0.67,0,0.65,0.06,2,0,5,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,185,0,2,0,3.99,0.42,0,3.28,0.8,2,0,4,0,0,0,1,1,0,0,2,Southpaw,180.34,182.88,185,28,26,0,0,0,0,0,1,0,0,0,5.08,5.08,-2,4.05,0,-2.63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu Yanan,Joselyne Edwards,-110,-110,90.90909091,90.90909091,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,1,0,0,4.79,0.45,0.4,0.44,0.14,1,2,7,0,0,0,0,0,1,0,1,Orthodox,172.72,167.64,125,24,25,-1,0,-1,-1,-2,-7,0,0,-1,0,10.16,1,-4.79,-0.4,-0.44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Felipe,Justin Tafa,-190,155,52.63157895,155,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,0,1,0,3.86,0.66,0,0,0,1,1,2,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,264,0,1,0,4.07,0.4,0,0,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,182.88,190.5,245,26,27,0,0,0,0,0,-4,0,1,0,0,-2.54,1,-0.21,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Zawada,Ramazan Emeev,210,-275,210,36.36363636,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,0,1,0,2.29,0.43,0.6,2,0.25,3,1,15,0,0,0,4,0,0,0,4,Southpaw,177.8,193.04,170,0,1,0,3.38,0.41,3.3,0.94,0.22,1,2,7,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,30,33,0,0,2,3,-1,8,0,0,-1,-5.08,2.54,3,-1.09,-2.7,1.06,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Moras,Vanessa Melo,-230,180,43.47826087,180,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Bantamweight,FEMALE,3,3,0,0,3.4,0.3,0,0,0,0,3,9,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,135,1,0,0,2.18,0.38,0.9,0.77,0.22,1,5,21,0,0,0,1,1,1,0,3,Orthodox,170.18,170.18,135,32,32,2,0,-1,-3,-2,-12,0,-1,-1,-5.08,-5.08,0,1.22,-0.9,-0.77,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
